"Racine",FF00A1DE,5 , 15 , 18 , 26 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 22 , 20 , 17 , 17 , 15 , 14 , 72 , 87 , 153 , 74 , 104 , 56 , 12 , 117 , 74 , 82 , 72 , 96 , 37 , 82 , 195 , 248 , 227 , 65 , 124
"Illinois Medical District",FF00A1DE,3 , 16 , 19 , 25 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 15 , 83 , 109 , 57 , 44 , 100 , 104 , 49 , 107 , 107 , 78 , 126 , 58 , 56 , 103 , 130 , 151 , 166 , 11 , 139
"Western-Forest Park",FF00A1DE,3 , 15 , 20 , 24 , 23 , 22 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 35 , 104 , 27 , 82 , 98 , 65 , 30 , 79 , 118 , 141 , 127 , 89 , 44 , 79 , 148 , 238 , 65 , 42 , 70
"Kedzie-Homan",FF00A1DE,3 , 15 , 19 , 24 , 23 , 22 , 20 , 20 , 21 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 118 , 123 , 18 , 54 , 90 , 95 , 7 , 115 , 88 , 152 , 135 , 72 , 44 , 61 , 153 , 274 , 116 , 116 , 47
"Pulaski-Forest Park",FF00A1DE,3 , 15 , 18 , 25 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 85 , 68 , 35 , 58 , 98 , 47 , 49 , 107 , 105 , 43 , 94 , 54 , 57 , 48 , 87 , 203 , 129 , 90 , 79
"Cicero-Forest Park",FF00A1DE,3 , 15 , 18 , 24 , 24 , 22 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 21 , 18 , 17 , 16 , 15 , 66 , 121 , 73 , 66 , 107 , 32 , 123 , 55 , 114 , 33 , 61 , 94 , 75 , 47 , 45 , 16 , 130 , 12 , 120
"Austin-Blue",FF00A1DE,0 , 15 , 18 , 24 , 24 , 22 , 21 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 42 , 47 , 49 , 56 , 130 , 58 , 79 , 117 , 98 , 108 , 111 , 53 , 50 , 37 , 79 , 137 , 32 , 178 , 48
"Oak Park-Blue",FF00A1DE,0 , 15 , 18 , 24 , 24 , 22 , 21 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 102 , 88 , 65 , 80 , 114 , 40 , 94 , 123 , 140 , 71 , 65 , 99 , 62 , 66 , 112 , 89 , 26 , 95 , 28
"Harlem-Forest Park",FF00A1DE,0 , 15 , 18 , 24 , 24 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 43 , 96 , 72 , 90 , 99 , 77 , 90 , 63 , 115 , 92 , 66 , 99 , 66 , 82 , 68 , 1 , 50 , 30 , 45
"Forest Park",FF00A1DE,0 , 15 , 18 , 23 , 23 , 23 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
"Forest Park",FF00A1DE,13 , 19 , 21 , 21 , 20 , 20 , 20 , 20 , 20 , 21 , 23 , 27 , 26 , 21 , 18 , 16 , 16 , 15 , 13 , 30 , 63 , 100 , 101 , 74 , 61 , 136 , 96 , 30 , 26 , 2 , 61 , 38 , 78 , 21 , 0 , 0 , 0 , 37
"Harlem-Forest Park",FF00A1DE,15 , 18 , 21 , 20 , 20 , 20 , 20 , 20 , 20 , 21 , 23 , 26 , 26 , 22 , 19 , 17 , 16 , 15 , 13 , 23 , 144 , 74 , 34 , 98 , 41 , 158 , 144 , 47 , 28 , 44 , 38 , 73 , 93 , 21 , 0 , 0 , 11 , 14
"Oak Park-Blue",FF00A1DE,15 , 18 , 20 , 21 , 20 , 20 , 20 , 20 , 20 , 21 , 23 , 26 , 26 , 22 , 19 , 17 , 16 , 15 , 13 , 45 , 142 , 61 , 63 , 142 , 0 , 44 , 142 , 59 , 31 , 31 , 17 , 75 , 67 , 94 , 332 , 110 , 80 , 31
"Austin-Blue",FF00A1DE,15 , 18 , 20 , 21 , 20 , 20 , 20 , 20 , 20 , 21 , 22 , 26 , 27 , 22 , 18 , 17 , 16 , 16 , 13 , 1 , 112 , 55 , 68 , 184 , 0 , 187 , 162 , 234 , 42 , 68 , 57 , 36 , 37 , 79 , 13 , 11 , 202 , 54
"Cicero-Forest Park",FF00A1DE,14 , 18 , 20 , 20 , 21 , 20 , 20 , 20 , 20 , 20 , 23 , 26 , 26 , 23 , 19 , 17 , 16 , 16 , 13 , 48 , 65 , 60 , 39 , 161 , 312 , 170 , 140 , 246 , 50 , 33 , 8 , 66 , 33 , 86 , 186 , 16 , 163 , 52
"Pulaski-Forest Park",FF00A1DE,14 , 17 , 21 , 20 , 19 , 20 , 20 , 20 , 20 , 21 , 22 , 26 , 27 , 22 , 19 , 18 , 17 , 15 , 13 , 29 , 132 , 71 , 118 , 94 , 0 , 72 , 43 , 41 , 76 , 3 , 80 , 33 , 95 , 50 , 11 , 19 , 166 , 65
"Kedzie-Homan",FF00A1DE,13 , 17 , 20 , 21 , 20 , 20 , 20 , 20 , 20 , 21 , 22 , 26 , 27 , 22 , 19 , 17 , 16 , 15 , 15 , 36 , 66 , 32 , 127 , 12 , 10 , 46 , 21 , 34 , 34 , 37 , 80 , 52 , 111 , 28 , 28 , 85 , 26 , 98
